enq_qdepth1,deq_timedelta1,deq_qdepth1, enq_qdepth2, deq_timedelta2, deq_qdepth2,enq_qdepth3,deq_timedelta3,deq_qdepth3,Buffer,ReportedBitrate,FPS,CalcBitrate,q_size
2.0,300.0,0.0,0.0,72.0,0.0,0.0,69.0,0.0,12.326,639.0,18.0,59808.0,0.0
0.0,822.0,2.0,0.0,78.0,0.0,0.0,45.0,0.0,14.216,639.0,18.0,60042.0,0.0
2.0,341.0,1.0,0.0,48.0,0.0,0.0,56.0,0.0,13.405,639.0,18.0,60169.0,0.0
0.0,139.0,0.0,0.0,49.0,0.0,0.0,42.0,0.0,12.341,639.0,18.0,60304.0,0.0
2.0,3195.0,15.0,0.0,65.0,0.0,0.0,52.0,0.0,11.276,639.0,18.0,60428.0,0.0
0.0,1105.0,1.0,0.0,78.0,0.0,0.0,75.0,0.0,14.213,639.0,18.0,60557.0,0.0
0.0,121.0,0.0,0.0,67.0,0.0,0.0,58.0,0.0,10.229,639.0,18.0,61079.0,0.0
0.0,169.0,0.0,0.0,100.0,0.0,0.0,77.0,0.0,13.437,639.0,18.0,61198.0,0.0
0.0,1868.0,0.0,0.0,51.0,0.0,0.0,61.0,0.0,12.372,639.0,18.0,61334.0,0.0
0.0,112.0,0.0,0.0,51.0,0.0,0.0,24.0,0.0,11.309,1867.0,24.0,61482.0,0.0
11.0,2018.0,10.0,0.0,29.0,0.0,0.0,57.0,0.0,9.448,1867.0,24.0,61762.0,0.0
2.0,1255.0,7.0,0.0,42.0,0.0,0.0,57.0,0.0,7.218,1867.0,24.0,62000.0,0.0
2.0,276.0,1.0,0.0,59.0,0.0,0.0,49.0,0.0,6.268,1867.0,24.0,62118.0,0.0
12.0,998.0,2.0,0.0,62.0,0.0,0.0,66.0,0.0,5.294,1867.0,24.0,62231.0,0.0
0.0,478.0,0.0,0.0,54.0,0.0,0.0,57.0,0.0,4.223,1867.0,24.0,62344.0,0.0
9.0,1855.0,8.0,0.0,60.0,0.0,0.0,65.0,0.0,7.261,639.0,18.0,62457.0,0.0
0.0,549.0,0.0,0.0,80.0,0.0,0.0,56.0,0.0,10.284,639.0,18.0,62582.0,0.0
1.0,6099.0,6.0,0.0,54.0,0.0,0.0,58.0,0.0,13.221,639.0,18.0,62721.0,0.0
0.0,5882.0,5.0,0.0,55.0,0.0,0.0,38.0,0.0,11.365,639.0,18.0,62980.0,0.0
5.0,1270.0,3.0,0.0,44.0,0.0,0.0,47.0,0.0,14.301,639.0,18.0,63117.0,0.0
11.0,1049.0,5.0,0.0,60.0,0.0,0.0,35.0,0.0,13.235,639.0,18.0,63256.0,0.0
0.0,116.0,0.0,0.0,48.0,0.0,0.0,66.0,0.0,12.444,639.0,18.0,63376.0,0.0
4.0,1933.0,6.0,0.0,33.0,0.0,0.0,36.0,0.0,11.378,639.0,18.0,63491.0,0.0
5.0,2922.0,11.0,0.0,48.0,0.0,0.0,81.0,0.0,10.314,639.0,18.0,63608.0,0.0
4.0,902.0,0.0,0.0,55.0,0.0,0.0,69.0,0.0,13.251,639.0,18.0,63726.0,0.0
6.0,1030.0,1.0,0.0,28.0,0.0,0.0,46.0,0.0,12.457,639.0,18.0,63834.0,0.0
0.0,97.0,0.0,0.0,49.0,0.0,0.0,50.0,0.0,13.267,639.0,18.0,64176.0,0.0
0.0,371.0,1.0,0.0,65.0,0.0,0.0,42.0,0.0,12.472,639.0,18.0,64300.0,0.0
0.0,161.0,0.0,0.0,54.0,0.0,0.0,63.0,0.0,11.411,639.0,18.0,64409.0,0.0
6.0,5729.0,6.0,0.0,66.0,0.0,0.0,91.0,0.0,14.227,639.0,18.0,64527.0,0.0
1.0,1225.0,3.0,0.0,57.0,0.0,0.0,47.0,0.0,13.283,639.0,18.0,64631.0,0.0
0.0,1014.0,1.0,0.0,57.0,0.0,0.0,66.0,0.0,12.22,639.0,18.0,64735.0,0.0
0.0,154.0,0.0,0.0,67.0,0.0,0.0,67.0,0.0,11.314,1867.0,24.0,64863.0,0.0
